GISJOIN,Per_Les_20,Per_Les_10,Per_Les_15
G26016305203001,68.00947867,25.82938389,58.29383886
G26016305203002,63.69863014,22.60273973,22.60273973
G26016305204001,68.40490798,30.16359918,54.29447853
G26016305207001,62.55319149,25.39007092,50.4964539
G26016305207002,59.17001339,23.69477912,43.7751004
G26016305208001,40.58823529,18.33333333,29.01960784
G26016305211001,48.28660436,19.62616822,31.46417445
G26016305211002,42.22222222,22.4691358,27.65432099
G26016305213001,60.82089552,11.19402985,38.80597015
G26016305214001,60.21341463,30.18292683,48.62804878
G26016305215001,60.37735849,18.86792453,40.75471698
G26016305215002,54.1218638,9.318996416,30.82437276
G26016305218001,35.04672897,1.168224299,20.79439252
G26016305219001,68.22429907,25.23364486,46.26168224
G26016305219002,63.77952756,4.724409449,34.64566929
G26016305219003,48.3992467,13.1826742,25.80037665
G26016305220001,43.91217565,4.99001996,17.76447106
G26016305221001,48.38709677,14.51612903,29.03225806
G26016305221002,50.76923077,12.30769231,21.53846154
G26016305222001,37.20930233,0,17.82945736
G26016305222002,16.66666667,0,0
G26016305223001,51.06382979,42.55319149,51.06382979
G26016305223002,48.57142857,9.714285714,32.57142857
G26016305224001,35.71428571,0,16.66666667
G26016305224002,40.56939502,7.473309609,19.92882562
G26016305225001,1.459854015,1.459854015,1.459854015
G26016305225002,35.77981651,14.67889908,24.7706422
G26016305225003,51.87969925,24.06015038,42.10526316
G26016305231001,44.93006993,7.167832168,31.46853147
G26016305232001,24.81343284,9.888059701,22.3880597
G26016305232002,52.51889169,13.09823678,39.67254408
G26016305233001,74.59677419,37.90322581,65.72580645
G26016305233002,40.32586558,14.86761711,21.5885947
G26016305233003,61.13636364,10.45454545,48.18181818
G26016305234001,50.72463768,8.695652174,28.69565217
G26016305234002,54.46428571,8.928571429,48.80952381
G26016305238001,35.77981651,0,11.00917431
G26016305238002,81.25,13.19444444,33.33333333
G26016305238003,56.46258503,17.68707483,23.80952381
G26016305238004,41.45936982,19.73466003,27.03150912
G26016305240001,64.70588235,30.58823529,43.1372549
G26016305240002,46.2295082,27.21311475,28.85245902
G26016305240003,56.54320988,9.87654321,42.4691358
G26016305241001,44.37086093,13.24503311,13.24503311
G26016305241002,52.21238938,11.50442478,39.38053097
G26016305241003,44.52054795,19.52054795,44.52054795
G26016305241004,23.41269841,8.333333333,11.50793651
G26016305242001,40.48582996,27.32793522,33.60323887
G26016305242002,35.8974359,0,12.82051282
G26016305242003,50.58139535,0,38.37209302
G26016305242004,6,1.5,1.5
G26016305242005,34.09961686,0,18.00766284
G26016305242006,11.42857143,0,11.42857143
G26016305243001,49.31506849,14.38356164,21.23287671
G26016305243002,51.84331797,7.834101382,32.02764977
G26016305243003,29.24528302,0,6.603773585
G26016305245001,57.14285714,57.14285714,57.14285714
G26016305245002,100,69.23076923,100
G26016305247001,39.28571429,0,39.28571429
G26016305247002,45.96774194,24.19354839,45.96774194
G26016305247003,41.61490683,0,0
G26016305247004,42.55319149,0,13.82978723
G26016305247005,22.94117647,10,22.94117647
G26016305247006,31.97026022,12.08178439,18.58736059
G26016305248001,38.98305085,0,0
G26016305248002,46.98795181,2.409638554,12.65060241
G26016305248003,40.88669951,0,4.926108374
G26016305248004,34.24657534,0,34.24657534
G26016305248005,32.44444444,14.22222222,14.22222222
G26016305249001,23.71794872,12.17948718,23.71794872
G26016305249002,31.31868132,0,10.98901099
G26016305250001,0,0,0
G26016305250002,59.23076923,25.38461538,35.38461538
G26016305250003,50.47619048,27.61904762,40.95238095
G26016305254001,32.74021352,10.3202847,28.46975089
G26016305254002,66.34615385,19.23076923,39.90384615
G26016305254003,57.38636364,15.90909091,22.15909091
G26016305255001,80,26.92307692,29.23076923
G26016305255002,37.83783784,0,22.97297297
G26016305256001,49.25373134,0,19.40298507
G26016305256002,33.21917808,3.767123288,27.39726027
G26016305257001,23.4375,0,17.44791667
G26016305257002,53.59281437,10.17964072,20.65868263
G26016305257003,44.12060302,5.427135678,19.69849246
G26016305257004,21.71428571,3.142857143,3.142857143
G26016305258001,35.63829787,9.574468085,22.07446809
G26016305258002,36.59217877,4.469273743,22.90502793
G26016305260001,54.41176471,7.843137255,41.17647059
G26016305260002,59.21325052,21.94616977,40.78674948
G26016305261001,51.05485232,6.329113924,45.14767932
G26016305261002,34.06593407,6.593406593,18.13186813
G26016305262001,43.57976654,16.73151751,32.29571984
G26016305262002,30.68181818,5.303030303,23.86363636
G26016305262003,38.6167147,5.475504323,19.02017291
G26016305263001,40.45584046,11.11111111,23.93162393
G26016305263002,35.26011561,0,5.202312139
G26016305263003,20.44444444,6.444444444,18.66666667
G26016305264001,15.38461538,11.11111111,15.38461538
G26016305264002,12.93532338,7.960199005,12.93532338
G26016305265001,22.44897959,0,0
G26016305265002,30.70539419,0,1.659751037
G26016305265003,16.43835616,0,0
G26016305272001,57.89473684,7.01754386,26.31578947
G26016305272002,53.57142857,0,0
G26016305273001,62.39316239,0,0
G26016305273002,40.36697248,0.917431193,0.917431193
G26016305301001,19.58041958,5.594405594,5.594405594
G26016305301002,59.18367347,0,10.20408163
G26016305301003,57.48031496,17.32283465,33.85826772
G26016305301004,100,53.04347826,53.04347826
G26016305302001,35.10204082,23.26530612,35.10204082
G26016305302002,34.44676409,18.78914405,22.96450939
G26016305302003,72.5,19.16666667,19.16666667
G26016305302004,45.79710145,32.17391304,43.76811594
G26016305302005,18.27956989,0,18.27956989
G26016305303001,0,0,0
G26016305303002,17.64705882,4.411764706,17.64705882
G26016305303003,14.9321267,6.334841629,6.334841629
G26016305304001,49.38271605,14.81481481,35.80246914
G26016305304002,35.48387097,0,14.51612903
G26016305305001,32.25806452,0,0
G26016305305002,27.73722628,7.299270073,13.13868613
G26016305305003,10.92436975,10.92436975,10.92436975
G26016305308001,38.05309735,8.849557522,25.66371681
G26016305308002,33.72093023,8.139534884,33.72093023
G26016305308003,42.72727273,14.54545455,14.54545455
G26016305308004,36.11111111,0,15.74074074
G26016305309001,9.433962264,0,9.433962264
G26016305309002,31.25,0,8.333333333
G26016305309003,17.5,3.75,17.5
G26016305311001,71.25,20,41.25
G26016305311002,20.68965517,0,1.724137931
G26016305312001,36.49635036,0,12.40875912
G26016305312002,46.62576687,4.90797546,28.83435583
G26016305312003,51.8907563,10.92436975,23.31932773
G26016305313001,69.27710843,31.3253012,60.24096386
G26016305313002,39.78494624,0,7.52688172
G26016305314001,0,0,0
G26016305314002,42.25721785,0,14.17322835
G26016305315001,50,50,50
G26016305315002,22.68656716,15.52238806,15.52238806
G26016305315003,24.23312883,7.055214724,23.00613497
G26016305315004,33.33333333,0,33.33333333
G26016305316001,55.47945205,16.09589041,40.06849315
G26016305316002,45.20547945,5.479452055,21.00456621
G26016305317001,50.46728972,0,40.18691589
G26016305317002,44.16666667,7.083333333,10.41666667
G26016305318001,23.62204724,3.149606299,16.53543307
G26016305318002,28.18791946,0,16.77852349
G26016305318003,38.81578947,7.236842105,30.92105263
G26016305319001,55.76923077,34.61538462,44.23076923
G26016305319002,60.49382716,10.69958848,45.67901235
G26016305322001,74.50980392,0,39.21568627
G26016305322002,52.65822785,5.569620253,16.70886076
G26016305323001,56.28930818,9.119496855,35.8490566
G26016305324001,13.55932203,0,6.779661017
G26016305324002,15.15151515,0,6.818181818
G26016305324003,63.35403727,19.25465839,59.62732919
G26016305326001,42.43421053,3.289473684,10.85526316
G26016305326002,53.11004785,0,32.05741627
G26016305326003,80.53691275,68.45637584,73.15436242
G26016305327001,47.68211921,5.960264901,9.271523179
G26016305327002,23.72881356,0,23.72881356
G26016305330001,16.25,0,16.25
G26016305330002,41.63568773,4.832713755,18.95910781
G26016305331001,44.06779661,0,10.16949153
G26016305331002,65.16853933,4.494382022,36.51685393
G26016305331003,45,0,11.66666667
G26016305332001,32.69230769,32.69230769,32.69230769
G26016305332002,47.42268041,9.278350515,26.80412371
G26016305332003,23.25581395,0,0
G26016305333001,0,0,0
G26016305333002,34.10138249,17.97235023,31.33640553
G26016305334001,54.83870968,12.90322581,43.5483871
G26016305334002,16.66666667,0,0
G26016305334003,0,0,0
G26016305334004,32.38095238,0,29.52380952
G26016305334005,18.18181818,0,7.575757576
G26016305335001,36.49635036,0,11.67883212
G26016305335002,38.21138211,11.38211382,29.26829268
G26016305336001,47.19101124,5.617977528,5.617977528
G26016305336002,33.5106383,0,13.29787234
G26016305336003,31.90184049,0,7.36196319
G26016305337001,48.88888889,9.259259259,22.22222222
G26016305337002,8.955223881,0,0
G26016305339001,46.76375405,14.72491909,20.87378641
G26016305339002,86.92307692,9.743589744,49.48717949
G26016305339003,72.17630854,33.19559229,53.99449036
G26016305341001,42.22222222,9.62962963,23.7037037
G26016305341002,33.49514563,0,0
G26016305341003,28.52564103,0,17.62820513
G26016305342001,55.87044534,0,22.67206478
G26016305342002,16.47058824,0,0
G26016305342003,6.896551724,0,0
G26016305342004,0,0,0
G26016305342005,51.9047619,0,15.95238095
G26016305343001,31.79916318,1.673640167,5.439330544
G26016305343002,19.92619926,0,7.380073801
G26016305344001,37.05583756,2.030456853,12.69035533
G26016305344002,26.35135135,0,0
G26016305345001,31.76470588,20,20
G26016305345002,13.00813008,0,0
G26016305346001,25,0,10.36585366
G26016305346002,42.28571429,30.28571429,30.28571429
G26016305346003,22.17741935,0,13.30645161
G26016305347001,20.78651685,0,4.494382022
G26016305347002,37.81512605,5.042016807,5.042016807
G26016305347003,50,0,0
G26016305347004,26.08695652,8.074534161,14.9068323
G26016305350001,16.06425703,4.819277108,4.819277108
G26016305350002,27.65957447,4.255319149,9.042553191
G26016305350003,19.78021978,0,4.395604396
G26016305351001,0,0,0
G26016305351002,44.39918534,0,7.942973523
G26016305352001,0,0,0
G26016305352002,43.1372549,43.1372549,43.1372549
G26016305352003,25.13661202,0,0
G26016305352004,40.28436019,11.37440758,16.11374408
G26016305353001,38.16425121,0,11.5942029
G26016305353002,23.76237624,0,0
G26016305353003,69.8019802,13.86138614,43.06930693
G26016305353004,62.14953271,8.411214953,27.10280374
G26016305353005,22.35528942,11.77644711,13.37325349
G26016305354001,41.70040486,0,0
G26016305354002,25,0,0
G26016305355001,25.21929825,2.412280702,9.210526316
G26016305355002,13.95348837,0,13.95348837
G26016305355003,18.3908046,0,8.333333333
G26016305356001,70.84639498,0,30.09404389
G26016305356002,24.86486486,7.027027027,7.027027027
G26016305356003,20,3.235294118,3.235294118
G26016305356004,19.56521739,0,0
G26016305357001,33.9055794,9.012875536,21.88841202
G26016305357002,23.68421053,0,14.03508772
G26016305361001,17.01388889,0,0
G26016305361002,59.19282511,0,33.632287
G26016305361003,49.79591837,10.20408163,32.65306122
G26016305361004,41.7721519,0,21.51898734
G26016305362001,50.27027027,4.864864865,22.16216216
G26016305362002,37.44939271,0.809716599,8.502024291
G26016305363001,47.01492537,0,25.37313433
G26016305363002,41.81818182,0,0
G26016305363003,33.83458647,0,17.29323308
G26016305363004,37.79527559,0,0
G26016305363005,12.5,0,0
G26016305363006,9.756097561,0,9.756097561
G26016305364001,0,0,0
G26016305364002,0,0,0
G26016305364003,18.42105263,0,18.42105263
G26016305364004,18.18181818,0,9.090909091
G26016305365001,36.66666667,0,0
G26016305365002,44.96487119,19.90632319,19.90632319
G26016305365003,9.523809524,0,0
G26016305365004,75.2,0,20.8
G26016305366001,5.673758865,0,5.673758865
G26016305366002,20.57761733,0,4.332129964
G26016305366003,71.18644068,11.01694915,47.45762712
G26016305366004,68.93203883,50.97087379,50.97087379
G26016305366005,76.08695652,13.76811594,34.05797101
G26016305367001,41.02564103,0,21.79487179
G26016305367002,27.47747748,0,6.756756757
G26016305368001,42.85714286,0,2.990033223
G26016305368002,43.35664336,4.195804196,21.67832168
G26016305369001,51.47058824,20.58823529,34.55882353
G26016305369002,31.92488263,18.77934272,18.77934272
G26016305369003,38.81118881,16.08391608,27.27272727
G26016305369004,30.6122449,6.12244898,30.6122449
G26016305370001,25.36945813,0,3.201970443
G26016305370002,5.319148936,0,5.319148936
G26016305370003,20,5.263157895,5.263157895
G26016305371001,26.82926829,0,26.82926829
G26016305371002,46.30872483,0,8.724832215
G26016305371003,16.66666667,0,5.333333333
G26016305372001,32.09876543,0,0
G26016305372002,32.65306122,11.2244898,22.44897959
G26016305373001,23.78640777,0,0
G26016305373002,7.075471698,0,0
G26016305373003,45.02164502,11.25541126,11.25541126
G26016305373004,44.08602151,0,0
G26016305375001,68.36734694,0,28.57142857
G26016305375002,35.71428571,14.28571429,26.53061224
G26016305375003,29.31034483,6.32183908,14.94252874
G26016305375004,6.64556962,0,0
G26016305375005,26.99115044,8.849557522,14.15929204
G26016305376001,15.60693642,10.98265896,10.98265896
G26016305376002,4.433497537,0,0
G26016305376003,22.66881029,0,2.090032154
G26016305377001,30.12048193,0,5.62248996
G26016305377002,93.04812834,0,0
G26016305377003,29.69432314,0,0
G26016305378001,7.894736842,0,0
G26016305378002,48.13753582,0,7.449856734
G26016305378003,18.29268293,0,0
G26016305381001,32.46073298,0,17.53926702
G26016305381002,25.35947712,10.32679739,17.90849673
G26016305382001,22.08333333,2.083333333,11.45833333
G26016305382002,29.46954813,1.571709234,8.447937132
G26016305383001,60.98765432,0.24691358,21.72839506
G26016305383002,46.81528662,0,28.34394904
G26016305384001,23.29059829,0,8.547008547
G26016305384002,40.44665012,0,25.80645161
