GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PUMA5A,BTTRA,BTBGA,NAME_E,AH37E001,AH37E002,AH37E003,AH4HE001,AH4HE002,AH4HE003,AH4HE004,AH4HE005,AH4HE006,AH4HE007,AH4HE008,AH5XE001,AH5XE002,AH5XE003,AH5XE004,AH5XE005,AH5XE006,AH5XE007,AH5XE008,AH5XE009,AH5XE010,AH5XE011,NAME_M,AH37M001,AH37M002,AH37M003,AH4HM001,AH4HM002,AH4HM003,AH4HM004,AH4HM005,AH4HM006,AH4HM007,AH4HM008,AH5XM001,AH5XM002,AH5XM003,AH5XM004,AH5XM005,AH5XM006,AH5XM007,AH5XM008,AH5XM009,AH5XM010,AH5XM011
G2601630539100,2013-2017,,,Michigan,26,Wayne County,163,,,539100,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 5391, Wayne County, Michigan",762,383,379,158,18,0,64,0,0,0,76,379,0,0,11,42,0,29,18,21,203,55,"Census Tract 5391, Wayne County, Michigan",68,63,88,60,27,10,49,10,10,10,58,88,10,10,12,31,10,37,23,28,77,40
G2601630539200,2013-2017,,,Michigan,26,Wayne County,163,,,539200,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 5392, Wayne County, Michigan",2199,1461,738,270,0,41,0,33,0,0,196,738,0,0,74,72,120,69,65,58,231,49,"Census Tract 5392, Wayne County, Michigan",188,229,247,175,10,64,10,52,10,10,162,247,10,10,58,90,116,109,106,81,177,80
G2601630539300,2013-2017,,,Michigan,26,Wayne County,163,,,539300,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 5393, Wayne County, Michigan",1540,1171,369,158,0,0,0,84,0,0,74,369,0,39,63,28,0,11,19,30,170,9,"Census Tract 5393, Wayne County, Michigan",93,137,130,89,10,10,10,69,10,10,67,130,10,45,64,26,10,17,31,34,91,15
G2601630539400,2013-2017,,,Michigan,26,Wayne County,163,,,539400,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 5394, Wayne County, Michigan",1356,766,590,220,0,58,18,96,0,0,48,590,0,0,43,0,46,93,42,43,262,61,"Census Tract 5394, Wayne County, Michigan",105,123,119,95,10,51,29,63,10,10,46,119,10,10,47,10,44,65,46,47,91,43
G2601630539500,2013-2017,,,Michigan,26,Wayne County,163,,,539500,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 5395, Wayne County, Michigan",1163,686,477,277,19,0,61,132,18,0,47,477,66,0,18,85,44,12,7,48,129,68,"Census Tract 5395, Wayne County, Michigan",104,117,116,95,31,10,54,85,28,10,49,116,64,10,28,74,59,18,13,49,96,68
G2601630539600,2013-2017,,,Michigan,26,Wayne County,163,,,539600,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 5396, Wayne County, Michigan",1114,761,353,322,25,0,83,54,0,0,160,353,0,11,24,10,0,18,21,0,154,115,"Census Tract 5396, Wayne County, Michigan",134,109,125,124,40,10,74,56,10,10,103,125,10,19,32,16,10,31,30,10,114,88
G2601630539700,2013-2017,,,Michigan,26,Wayne County,163,,,539700,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 5397, Wayne County, Michigan",937,479,458,105,21,10,16,9,0,0,49,458,10,31,43,41,69,43,26,29,120,46,"Census Tract 5397, Wayne County, Michigan",72,72,94,58,27,17,25,15,10,10,41,94,11,31,38,37,39,38,22,31,54,36
G2601630540100,2013-2017,,,Michigan,26,Wayne County,163,,,540100,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 5401, Wayne County, Michigan",1212,802,410,401,103,21,63,105,0,0,109,410,0,10,22,0,35,29,27,31,157,99,"Census Tract 5401, Wayne County, Michigan",122,113,104,113,70,32,59,78,10,10,73,104,10,17,25,10,47,45,31,25,85,68
G2601630540200,2013-2017,,,Michigan,26,Wayne County,163,,,540200,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 5402, Wayne County, Michigan",1170,549,621,660,22,0,203,90,21,0,324,621,0,0,25,64,118,116,8,23,182,85,"Census Tract 5402, Wayne County, Michigan",138,130,155,127,36,10,110,68,33,10,111,155,10,10,31,70,94,94,13,29,90,76
G2601630540300,2013-2017,,,Michigan,26,Wayne County,163,,,540300,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 5403, Wayne County, Michigan",1445,820,625,312,24,0,126,65,0,0,97,625,33,0,27,82,21,54,30,0,295,83,"Census Tract 5403, Wayne County, Michigan",104,130,136,98,38,10,60,57,10,10,57,136,48,10,46,76,24,54,30,10,127,64
