GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PUMA5A,BTTRA,BTBGA,NAME_E,AH37E001,AH37E002,AH37E003,AH4HE001,AH4HE002,AH4HE003,AH4HE004,AH4HE005,AH4HE006,AH4HE007,AH4HE008,AH5XE001,AH5XE002,AH5XE003,AH5XE004,AH5XE005,AH5XE006,AH5XE007,AH5XE008,AH5XE009,AH5XE010,AH5XE011,NAME_M,AH37M001,AH37M002,AH37M003,AH4HM001,AH4HM002,AH4HM003,AH4HM004,AH4HM005,AH4HM006,AH4HM007,AH4HM008,AH5XM001,AH5XM002,AH5XM003,AH5XM004,AH5XM005,AH5XM006,AH5XM007,AH5XM008,AH5XM009,AH5XM010,AH5XM011
G2601630500100,2013-2017,,,Michigan,26,Wayne County,163,,,500100,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 5001, Wayne County, Michigan",1419,509,910,398,40,0,18,0,0,0,340,910,0,10,98,26,120,124,68,185,228,51,"Census Tract 5001, Wayne County, Michigan",132,121,166,118,44,10,29,10,10,10,112,166,10,16,73,31,80,77,49,109,95,49
G2601630500200,2013-2017,,,Michigan,26,Wayne County,163,,,500200,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 5002, Wayne County, Michigan",1002,465,537,265,65,0,39,15,0,0,146,537,7,23,106,50,87,82,46,25,65,46,"Census Tract 5002, Wayne County, Michigan",125,93,115,102,58,10,44,24,10,10,71,115,12,38,72,45,76,54,43,28,50,47
G2601630500300,2013-2017,,,Michigan,26,Wayne County,163,,,500300,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 5003, Wayne County, Michigan",799,273,526,467,25,0,13,0,0,0,429,526,0,31,46,24,107,41,46,64,118,49,"Census Tract 5003, Wayne County, Michigan",89,71,94,85,24,10,22,10,10,10,76,94,10,39,39,26,56,31,43,43,55,36
G2601630500400,2013-2017,,,Michigan,26,Wayne County,163,,,500400,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 5004, Wayne County, Michigan",420,180,240,451,17,0,19,9,0,0,406,240,0,0,20,34,0,33,21,31,84,17,"Census Tract 5004, Wayne County, Michigan",80,50,73,73,20,10,21,14,10,10,71,73,10,10,23,32,10,29,24,27,49,19
G2601630500500,2013-2017,,,Michigan,26,Wayne County,163,,,500500,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 5005, Wayne County, Michigan",600,281,319,384,20,0,0,0,0,0,364,319,0,0,28,27,58,8,46,30,80,42,"Census Tract 5005, Wayne County, Michigan",71,78,85,84,25,10,10,10,10,10,79,85,10,10,30,26,41,16,40,33,47,37
G2601630500600,2013-2017,,,Michigan,26,Wayne County,163,,,500600,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 5006, Wayne County, Michigan",948,331,617,623,65,0,0,0,0,0,558,617,0,39,36,78,84,24,67,56,187,46,"Census Tract 5006, Wayne County, Michigan",136,103,131,141,60,10,10,10,10,10,130,131,10,34,42,72,62,27,62,51,98,49
G2601630500700,2013-2017,,,Michigan,26,Wayne County,163,,,500700,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 5007, Wayne County, Michigan",1516,760,756,394,43,0,66,68,0,0,217,756,17,9,67,67,142,76,10,10,283,75,"Census Tract 5007, Wayne County, Michigan",140,141,145,108,48,10,58,62,10,10,93,145,19,15,69,49,84,59,16,16,119,56
G2601630500800,2013-2017,,,Michigan,26,Wayne County,163,,,500800,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 5008, Wayne County, Michigan",1016,643,373,141,25,0,0,41,0,0,75,373,0,17,36,37,0,42,15,4,168,54,"Census Tract 5008, Wayne County, Michigan",75,90,79,66,35,10,10,39,10,10,51,79,10,26,36,41,10,41,25,8,61,44
G2601630500900,2013-2017,,,Michigan,26,Wayne County,163,,,500900,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 5009, Wayne County, Michigan",1225,565,660,559,127,0,66,22,21,0,323,660,0,7,7,49,28,69,92,0,303,105,"Census Tract 5009, Wayne County, Michigan",158,119,140,143,91,10,61,29,35,10,118,140,10,11,12,45,44,57,73,10,124,76
G2601630501000,2013-2017,,,Michigan,26,Wayne County,163,,,501000,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 5010, Wayne County, Michigan",926,496,430,394,51,0,47,0,0,0,296,430,0,0,0,64,83,60,35,26,118,44,"Census Tract 5010, Wayne County, Michigan",135,123,98,136,54,10,55,10,10,10,120,98,10,10,10,73,70,64,51,27,84,54
G2601630501100,2013-2017,,,Michigan,26,Wayne County,163,,,501100,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 5011, Wayne County, Michigan",1088,619,469,531,59,0,61,82,0,0,329,469,0,0,29,0,0,9,41,65,263,62,"Census Tract 5011, Wayne County, Michigan",131,129,131,114,54,10,56,73,10,10,102,131,10,10,45,10,10,15,51,57,111,61
G2601630501200,2013-2017,,,Michigan,26,Wayne County,163,,,501200,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 5012, Wayne County, Michigan",523,196,327,379,63,0,0,21,27,0,268,327,0,4,26,26,18,18,5,61,155,14,"Census Tract 5012, Wayne County, Michigan",74,52,77,74,36,10,10,24,23,10,68,77,10,7,19,21,20,19,7,35,63,18
G2601630501300,2013-2017,,,Michigan,26,Wayne County,163,,,501300,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 5013, Wayne County, Michigan",1147,606,541,416,35,0,0,16,0,0,365,541,0,0,56,20,17,37,19,45,289,58,"Census Tract 5013, Wayne County, Michigan",133,115,155,123,38,10,10,27,10,10,123,155,10,10,56,33,20,45,30,50,104,53
G2601630501400,2013-2017,,,Michigan,26,Wayne County,163,,,501400,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 5014, Wayne County, Michigan",1288,812,476,428,33,36,18,6,15,0,320,476,23,10,53,15,16,19,29,48,220,43,"Census Tract 5014, Wayne County, Michigan",107,133,120,90,37,42,30,9,23,10,76,120,33,18,52,25,26,27,42,44,104,41
G2601630501500,2013-2017,,,Michigan,26,Wayne County,163,,,501500,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 5015, Wayne County, Michigan",1487,810,677,311,39,20,20,39,0,0,193,677,0,42,23,10,79,35,39,0,280,169,"Census Tract 5015, Wayne County, Michigan",109,112,147,101,44,33,33,43,10,10,89,147,10,60,35,15,71,38,42,10,119,105
G2601630501600,2013-2017,,,Michigan,26,Wayne County,163,,,501600,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 5016, Wayne County, Michigan",761,443,318,312,43,0,0,28,0,0,241,318,0,23,37,18,37,19,34,16,102,32,"Census Tract 5016, Wayne County, Michigan",87,81,79,79,37,10,10,30,10,10,77,79,10,27,34,16,34,20,30,21,57,26
G2601630501700,2013-2017,,,Michigan,26,Wayne County,163,,,501700,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 5017, Wayne County, Michigan",853,473,380,303,22,21,11,28,0,0,221,380,0,40,27,21,48,18,40,35,112,39,"Census Tract 5017, Wayne County, Michigan",86,101,97,78,30,24,17,33,10,10,74,97,10,29,27,26,41,23,31,24,46,40
G2601630501800,2013-2017,,,Michigan,26,Wayne County,163,,,501800,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 5018, Wayne County, Michigan",1737,1244,493,416,76,0,142,56,0,0,142,493,8,128,162,39,18,47,25,11,41,14,"Census Tract 5018, Wayne County, Michigan",150,144,150,137,66,14,98,67,14,14,90,150,13,74,105,44,22,60,42,17,38,23
G2601630501900,2013-2017,,,Michigan,26,Wayne County,163,,,501900,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 5019, Wayne County, Michigan",960,421,539,423,45,0,32,0,0,0,346,539,5,6,22,13,41,44,35,66,271,36,"Census Tract 5019, Wayne County, Michigan",86,77,100,87,40,10,36,10,10,10,89,100,8,8,32,13,23,41,34,45,78,34
G2601630502000,2013-2017,,,Michigan,26,Wayne County,163,,,502000,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 5020, Wayne County, Michigan",667,400,267,295,40,0,0,72,0,0,183,267,0,0,29,50,54,34,0,28,45,27,"Census Tract 5020, Wayne County, Michigan",62,59,65,62,33,10,10,45,10,10,52,65,10,10,29,34,37,28,10,24,23,26
G2601630503100,2013-2017,,,Michigan,26,Wayne County,163,,,503100,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 5031, Wayne County, Michigan",1006,513,493,225,66,0,15,0,0,0,144,493,19,31,41,19,22,70,31,80,153,27,"Census Tract 5031, Wayne County, Michigan",81,102,89,67,50,10,24,10,10,10,65,89,30,33,36,21,23,52,31,47,57,28
G2601630503200,2013-2017,,,Michigan,26,Wayne County,163,,,503200,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 5032, Wayne County, Michigan",974,390,584,542,23,14,0,0,0,0,505,584,0,0,62,41,121,65,0,46,201,48,"Census Tract 5032, Wayne County, Michigan",103,88,97,106,26,23,10,10,10,10,102,97,10,10,54,37,71,48,10,39,77,39
G2601630503300,2013-2017,,,Michigan,26,Wayne County,163,,,503300,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 5033, Wayne County, Michigan",1214,456,758,567,0,0,16,25,34,0,492,758,10,9,76,112,96,57,25,169,145,59,"Census Tract 5033, Wayne County, Michigan",127,109,165,110,10,10,29,38,40,10,108,165,14,16,65,77,61,56,37,95,75,46
G2601630503400,2013-2017,,,Michigan,26,Wayne County,163,,,503400,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 5034, Wayne County, Michigan",503,230,273,170,0,0,0,10,0,0,160,273,0,5,6,26,53,24,42,49,68,0,"Census Tract 5034, Wayne County, Michigan",60,45,61,63,10,10,10,16,10,10,62,61,10,9,8,26,43,20,37,32,40,10
G2601630503500,2013-2017,,,Michigan,26,Wayne County,163,,,503500,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 5035, Wayne County, Michigan",1037,426,611,750,0,0,19,21,0,0,710,611,16,0,45,30,34,149,24,15,175,123,"Census Tract 5035, Wayne County, Michigan",130,120,147,127,10,10,30,33,10,10,132,147,17,10,49,36,38,81,36,20,90,68
G2601630503600,2013-2017,,,Michigan,26,Wayne County,163,,,503600,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 5036, Wayne County, Michigan",640,338,302,289,20,0,0,0,0,0,269,302,0,5,17,23,60,24,45,33,52,43,"Census Tract 5036, Wayne County, Michigan",72,64,61,64,22,10,10,10,10,10,61,61,10,7,17,26,37,22,36,23,34,30
G2601630503900,2013-2017,,,Michigan,26,Wayne County,163,,,503900,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 5039, Wayne County, Michigan",592,324,268,547,0,0,21,0,0,0,526,268,0,10,0,27,44,6,5,41,119,16,"Census Tract 5039, Wayne County, Michigan",83,70,80,78,10,10,26,10,10,10,81,80,10,15,10,30,47,13,8,35,54,19
G2601630504000,2013-2017,,,Michigan,26,Wayne County,163,,,504000,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 5040, Wayne County, Michigan",506,254,252,163,0,0,0,0,0,0,163,252,0,0,0,19,32,11,0,14,132,44,"Census Tract 5040, Wayne County, Michigan",63,53,62,60,10,10,10,10,10,10,60,62,10,10,10,24,35,20,10,23,57,30
G2601630504100,2013-2017,,,Michigan,26,Wayne County,163,,,504100,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 5041, Wayne County, Michigan",489,227,262,479,0,0,0,0,0,0,479,262,5,2,5,34,12,39,6,33,102,24,"Census Tract 5041, Wayne County, Michigan",68,62,56,72,10,10,10,10,10,10,72,56,7,6,11,30,20,28,9,26,42,21
G2601630504200,2013-2017,,,Michigan,26,Wayne County,163,,,504200,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 5042, Wayne County, Michigan",595,365,230,653,0,0,0,0,0,0,653,230,0,4,23,33,10,19,0,19,86,36,"Census Tract 5042, Wayne County, Michigan",88,75,78,89,10,10,10,10,10,10,89,78,10,6,30,36,12,29,10,29,52,41
G2601630504300,2013-2017,,,Michigan,26,Wayne County,163,,,504300,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 5043, Wayne County, Michigan",732,385,347,573,0,0,0,10,5,0,558,347,0,21,22,10,44,34,35,5,153,23,"Census Tract 5043, Wayne County, Michigan",81,51,79,71,10,10,10,15,7,10,70,79,10,25,23,15,31,28,28,7,55,20
G2601630504400,2013-2017,,,Michigan,26,Wayne County,163,,,504400,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 5044, Wayne County, Michigan",554,390,164,564,0,0,12,0,0,0,552,164,0,0,9,4,4,0,11,31,70,35,"Census Tract 5044, Wayne County, Michigan",56,70,55,71,10,10,20,10,10,10,74,55,10,10,14,6,6,10,17,28,46,36
G2601630504700,2013-2017,,,Michigan,26,Wayne County,163,,,504700,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 5047, Wayne County, Michigan",660,286,374,401,0,0,0,0,0,15,386,374,33,0,35,15,16,21,11,25,123,95,"Census Tract 5047, Wayne County, Michigan",80,76,77,89,10,10,10,10,10,24,84,77,34,10,37,19,19,20,17,37,58,55
G2601630504800,2013-2017,,,Michigan,26,Wayne County,163,,,504800,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 5048, Wayne County, Michigan",262,190,72,178,0,0,11,0,5,0,162,72,0,0,0,0,3,0,14,0,36,19,"Census Tract 5048, Wayne County, Michigan",51,48,39,51,10,10,17,10,7,10,52,39,10,10,10,10,5,10,20,10,28,16
G2601630504900,2013-2017,,,Michigan,26,Wayne County,163,,,504900,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 5049, Wayne County, Michigan",1256,654,602,323,145,0,15,0,20,0,143,602,29,18,8,11,36,22,70,90,240,78,"Census Tract 5049, Wayne County, Michigan",123,109,128,106,83,10,24,10,30,10,76,128,45,30,12,21,44,33,59,57,93,52
G2601630505000,2013-2017,,,Michigan,26,Wayne County,163,,,505000,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 5050, Wayne County, Michigan",367,191,176,198,20,0,1,0,0,0,177,176,14,0,10,36,15,0,12,3,75,11,"Census Tract 5050, Wayne County, Michigan",50,62,43,54,23,10,7,10,10,10,52,43,22,10,18,29,20,10,18,15,38,17
G2601630505100,2013-2017,,,Michigan,26,Wayne County,163,,,505100,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 5051, Wayne County, Michigan",1411,623,788,600,132,0,22,0,0,0,446,788,17,19,19,25,59,53,70,72,411,43,"Census Tract 5051, Wayne County, Michigan",126,93,132,122,78,10,35,10,10,10,116,132,18,21,28,40,44,60,53,55,129,35
G2601630505200,2013-2017,,,Michigan,26,Wayne County,163,,,505200,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 5052, Wayne County, Michigan",1127,375,752,427,71,0,0,0,0,0,356,752,0,22,27,83,80,131,77,98,206,28,"Census Tract 5052, Wayne County, Michigan",119,96,128,108,57,10,10,10,10,10,111,128,10,30,34,55,57,71,57,65,99,33
G2601630505400,2013-2017,,,Michigan,26,Wayne County,163,,,505400,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 5054, Wayne County, Michigan",841,403,438,599,62,0,15,0,0,0,522,438,0,8,0,76,33,13,40,33,146,89,"Census Tract 5054, Wayne County, Michigan",112,99,131,110,49,10,24,10,10,10,113,131,10,12,10,57,38,20,33,39,71,64
G2601630505500,2013-2017,,,Michigan,26,Wayne County,163,,,505500,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 5055, Wayne County, Michigan",379,208,171,332,0,0,0,8,0,0,324,171,0,8,41,0,0,1,7,0,91,23,"Census Tract 5055, Wayne County, Michigan",53,44,52,57,10,10,10,13,10,10,57,52,10,14,23,10,10,4,11,10,49,16
G2601630506100,2013-2017,,,Michigan,26,Wayne County,163,,,506100,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 5061, Wayne County, Michigan",677,427,250,212,51,19,55,0,0,0,87,250,0,0,14,25,12,19,4,30,141,5,"Census Tract 5061, Wayne County, Michigan",64,75,60,61,40,24,39,10,10,10,48,60,10,10,22,24,13,28,8,25,64,8
G2601630506200,2013-2017,,,Michigan,26,Wayne County,163,,,506200,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 5062, Wayne County, Michigan",673,429,244,269,45,0,10,0,0,0,214,244,0,0,11,16,33,0,12,37,95,40,"Census Tract 5062, Wayne County, Michigan",75,82,71,75,30,10,17,10,10,10,71,71,10,10,19,24,24,10,17,28,57,27
G2601630506300,2013-2017,,,Michigan,26,Wayne County,163,,,506300,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 5063, Wayne County, Michigan",686,444,242,441,52,0,29,19,10,0,331,242,0,24,0,13,4,17,13,0,112,59,"Census Tract 5063, Wayne County, Michigan",82,65,76,80,68,10,30,21,17,10,65,76,10,22,10,20,8,18,15,10,55,38
G2601630506400,2013-2017,,,Michigan,26,Wayne County,163,,,506400,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 5064, Wayne County, Michigan",345,206,139,277,0,0,0,0,0,0,277,139,0,0,0,0,14,5,0,20,75,25,"Census Tract 5064, Wayne County, Michigan",55,44,53,59,10,10,10,10,10,10,59,53,10,10,10,10,21,9,10,25,33,23
G2601630506500,2013-2017,,,Michigan,26,Wayne County,163,,,506500,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 5065, Wayne County, Michigan",776,506,270,379,30,0,16,32,0,0,301,270,15,6,10,42,6,16,32,0,117,26,"Census Tract 5065, Wayne County, Michigan",96,87,94,86,34,10,24,26,10,10,89,94,25,10,18,40,9,27,34,10,65,32
G2601630506600,2013-2017,,,Michigan,26,Wayne County,163,,,506600,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 5066, Wayne County, Michigan",1098,591,507,485,0,0,52,0,0,0,433,507,42,74,37,0,0,33,21,75,206,19,"Census Tract 5066, Wayne County, Michigan",111,119,121,106,10,10,57,10,10,10,110,121,46,70,46,10,10,46,27,67,97,21
G2601630506700,2013-2017,,,Michigan,26,Wayne County,163,,,506700,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 5067, Wayne County, Michigan",384,290,94,187,0,0,0,0,0,0,187,94,0,0,0,0,0,0,0,6,69,19,"Census Tract 5067, Wayne County, Michigan",50,51,33,44,10,10,10,10,10,10,44,33,10,10,10,10,10,10,10,9,30,17
G2601630506800,2013-2017,,,Michigan,26,Wayne County,163,,,506800,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 5068, Wayne County, Michigan",1544,937,607,339,86,0,20,0,0,0,233,607,0,31,0,61,77,17,75,30,166,150,"Census Tract 5068, Wayne County, Michigan",110,145,127,101,56,10,31,10,10,10,90,127,10,35,10,55,59,27,65,40,84,76
G2601630506900,2013-2017,,,Michigan,26,Wayne County,163,,,506900,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 5069, Wayne County, Michigan",1285,746,539,401,21,59,24,0,0,0,297,539,0,33,50,41,0,29,22,87,203,74,"Census Tract 5069, Wayne County, Michigan",118,134,125,98,32,56,29,10,10,10,97,125,10,39,45,47,10,34,36,62,93,56
G2601630507000,2013-2017,,,Michigan,26,Wayne County,163,,,507000,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 5070, Wayne County, Michigan",1031,510,521,285,59,0,0,0,0,0,226,521,24,32,11,38,68,41,11,39,128,129,"Census Tract 5070, Wayne County, Michigan",92,95,91,92,54,10,10,10,10,10,93,91,34,45,19,46,52,34,18,40,80,79
G2601630507100,2013-2017,,,Michigan,26,Wayne County,163,,,507100,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 5071, Wayne County, Michigan",942,561,381,453,23,0,45,0,0,0,385,381,29,0,15,9,9,41,27,34,156,61,"Census Tract 5071, Wayne County, Michigan",134,134,92,129,37,10,52,10,10,10,122,92,46,10,23,13,14,33,43,43,74,49
G2601630507200,2013-2017,,,Michigan,26,Wayne County,163,,,507200,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 5072, Wayne County, Michigan",461,266,195,335,22,0,22,0,0,0,291,195,0,17,4,0,0,0,0,11,63,100,"Census Tract 5072, Wayne County, Michigan",87,80,65,79,26,10,24,10,10,10,75,65,10,27,6,10,10,10,10,11,40,53
G2601630507300,2013-2017,,,Michigan,26,Wayne County,163,,,507300,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 5073, Wayne County, Michigan",785,464,321,735,7,0,0,0,0,0,728,321,0,0,9,14,53,46,28,50,64,57,"Census Tract 5073, Wayne County, Michigan",100,82,104,96,12,10,10,10,10,10,96,104,10,10,14,23,58,50,28,71,52,44
G2601630507400,2013-2017,,,Michigan,26,Wayne County,163,,,507400,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 5074, Wayne County, Michigan",972,504,468,551,35,0,18,0,0,0,498,468,0,33,55,66,8,19,14,60,169,44,"Census Tract 5074, Wayne County, Michigan",116,107,112,114,43,10,28,10,10,10,110,112,10,39,44,55,14,23,23,60,73,45
G2601630507500,2013-2017,,,Michigan,26,Wayne County,163,,,507500,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 5075, Wayne County, Michigan",908,458,450,434,83,0,9,0,14,0,328,450,0,20,32,42,50,31,12,23,192,48,"Census Tract 5075, Wayne County, Michigan",91,85,81,75,41,10,14,10,16,10,67,81,10,22,30,32,31,18,14,25,68,36
G2601630507800,2013-2017,,,Michigan,26,Wayne County,163,,,507800,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 5078, Wayne County, Michigan",172,89,83,238,0,0,0,0,3,0,235,83,0,0,4,0,17,0,20,0,42,0,"Census Tract 5078, Wayne County, Michigan",46,34,47,55,10,10,10,10,6,10,55,47,10,10,6,10,22,10,27,10,39,10
G2601630507900,2013-2017,,,Michigan,26,Wayne County,163,,,507900,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 5079, Wayne County, Michigan",513,243,270,810,0,0,10,10,5,0,785,270,0,11,16,36,11,8,10,34,110,34,"Census Tract 5079, Wayne County, Michigan",86,44,72,81,10,10,16,16,7,10,81,72,10,12,18,30,8,10,18,29,50,41
G2601630508000,2013-2017,,,Michigan,26,Wayne County,163,,,508000,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 5080, Wayne County, Michigan",629,66,563,243,16,0,0,0,0,0,227,563,105,4,67,17,80,12,23,52,146,57,"Census Tract 5080, Wayne County, Michigan",72,34,75,68,18,10,10,10,10,10,65,75,47,8,44,20,42,15,25,40,59,38
G2601630508100,2013-2017,,,Michigan,26,Wayne County,163,,,508100,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 5081, Wayne County, Michigan",473,272,201,796,13,0,14,14,0,0,755,201,0,11,7,0,0,25,17,0,73,68,"Census Tract 5081, Wayne County, Michigan",83,69,62,93,22,10,21,22,10,10,94,62,10,16,11,10,10,35,27,10,36,48
G2601630510400,2013-2017,,,Michigan,26,Wayne County,163,,,510400,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 5104, Wayne County, Michigan",296,171,125,331,12,0,0,0,0,0,319,125,14,13,0,2,6,3,0,0,31,56,"Census Tract 5104, Wayne County, Michigan",63,52,51,70,19,10,10,10,10,10,69,51,19,14,10,5,9,7,10,10,24,44
G2601630510500,2013-2017,,,Michigan,26,Wayne County,163,,,510500,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 5105, Wayne County, Michigan",1121,776,345,427,48,0,0,0,0,0,379,345,0,0,33,158,0,31,17,0,106,0,"Census Tract 5105, Wayne County, Michigan",128,148,120,111,54,10,10,10,10,10,111,120,10,10,31,89,10,32,22,10,88,10
G2601630510600,2013-2017,,,Michigan,26,Wayne County,163,,,510600,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 5106, Wayne County, Michigan",1479,1034,445,275,61,0,0,0,0,0,214,445,26,28,37,92,0,0,26,0,84,152,"Census Tract 5106, Wayne County, Michigan",114,151,130,89,48,14,14,14,14,14,85,130,39,42,42,71,14,14,28,14,79,93
G2601630510700,2013-2017,,,Michigan,26,Wayne County,163,,,510700,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 5107, Wayne County, Michigan",504,169,335,171,12,0,11,0,0,0,148,335,7,21,14,0,0,37,14,0,170,72,"Census Tract 5107, Wayne County, Michigan",47,55,62,44,18,10,18,10,10,10,48,62,10,23,15,10,10,33,22,10,50,41
G2601630511000,2013-2017,,,Michigan,26,Wayne County,163,,,511000,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 5110, Wayne County, Michigan",698,281,417,356,0,0,0,0,0,0,356,417,17,0,0,26,45,0,8,22,226,73,"Census Tract 5110, Wayne County, Michigan",89,61,90,79,10,10,10,10,10,10,79,90,28,10,10,29,27,10,12,24,76,48
G2601630511200,2013-2017,,,Michigan,26,Wayne County,163,,,511200,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 5112, Wayne County, Michigan",572,266,306,330,29,0,0,0,0,0,301,306,9,8,24,31,0,0,36,58,67,73,"Census Tract 5112, Wayne County, Michigan",68,62,78,63,30,10,10,10,10,10,59,78,13,13,24,33,10,10,34,30,45,41
G2601630511300,2013-2017,,,Michigan,26,Wayne County,163,,,511300,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 5113, Wayne County, Michigan",708,459,249,486,36,0,12,0,0,0,438,249,0,24,10,12,14,0,14,0,55,120,"Census Tract 5113, Wayne County, Michigan",72,72,76,71,32,10,19,10,10,10,69,76,10,27,16,18,23,10,22,10,42,52
G2601630511400,2013-2017,,,Michigan,26,Wayne County,163,,,511400,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 5114, Wayne County, Michigan",1032,358,674,667,43,0,13,0,0,0,611,674,8,25,98,32,58,79,38,63,193,80,"Census Tract 5114, Wayne County, Michigan",109,81,115,106,41,10,20,10,10,10,104,115,14,36,65,32,48,59,41,42,81,50
G2601630511900,2013-2017,,,Michigan,26,Wayne County,163,,,511900,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 5119, Wayne County, Michigan",701,226,475,519,26,0,0,0,0,0,493,475,17,35,5,19,41,46,11,24,186,91,"Census Tract 5119, Wayne County, Michigan",91,61,87,90,30,10,10,10,10,10,90,87,15,32,8,25,31,36,12,30,73,49
G2601630512100,2013-2017,,,Michigan,26,Wayne County,163,,,512100,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 5121, Wayne County, Michigan",1055,593,462,689,0,0,60,0,0,0,629,462,25,0,0,37,36,33,18,15,246,52,"Census Tract 5121, Wayne County, Michigan",127,149,133,123,10,10,46,10,10,10,136,133,40,10,10,50,60,40,20,18,110,57
G2601630512200,2013-2017,,,Michigan,26,Wayne County,163,,,512200,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 5122, Wayne County, Michigan",435,33,402,66,0,0,0,0,0,0,66,402,4,16,51,15,58,13,4,53,129,59,"Census Tract 5122, Wayne County, Michigan",44,24,47,34,10,10,10,10,10,10,34,47,6,17,35,15,37,15,9,33,50,37
